Gate_records in the linked list:
GateName: DATA_0_31 , GateType: 0, Level: 0, Output: false, Number: 0, Fanout: DATA_0_31, Fanin: None 
GateName: DATA_0_30 , GateType: 0, Level: 0, Output: false, Number: 1, Fanout: DATA_0_30, Fanin: None 
GateName: DATA_0_29 , GateType: 0, Level: 0, Output: false, Number: 2, Fanout: DATA_0_29, Fanin: None 
GateName: DATA_0_28 , GateType: 0, Level: 0, Output: false, Number: 3, Fanout: DATA_0_28, Fanin: None 
GateName: DATA_0_27 , GateType: 0, Level: 0, Output: false, Number: 4, Fanout: DATA_0_27, Fanin: None 
GateName: DATA_0_26 , GateType: 0, Level: 0, Output: false, Number: 5, Fanout: DATA_0_26, Fanin: None 
GateName: DATA_0_25 , GateType: 0, Level: 0, Output: false, Number: 6, Fanout: DATA_0_25, Fanin: None 
GateName: DATA_0_24 , GateType: 0, Level: 0, Output: false, Number: 7, Fanout: DATA_0_24, Fanin: None 
GateName: DATA_0_23 , GateType: 0, Level: 0, Output: false, Number: 8, Fanout: DATA_0_23, Fanin: None 
GateName: DATA_0_22 , GateType: 0, Level: 0, Output: false, Number: 9, Fanout: DATA_0_22, Fanin: None 
GateName: DATA_0_21 , GateType: 0, Level: 0, Output: false, Number: 10, Fanout: DATA_0_21, Fanin: None 
GateName: DATA_0_20 , GateType: 0, Level: 0, Output: false, Number: 11, Fanout: DATA_0_20, Fanin: None 
GateName: DATA_0_19 , GateType: 0, Level: 0, Output: false, Number: 12, Fanout: DATA_0_19, Fanin: None 
GateName: DATA_0_18 , GateType: 0, Level: 0, Output: false, Number: 13, Fanout: DATA_0_18, Fanin: None 
GateName: DATA_0_17 , GateType: 0, Level: 0, Output: false, Number: 14, Fanout: DATA_0_17, Fanin: None 
GateName: DATA_0_16 , GateType: 0, Level: 0, Output: false, Number: 15, Fanout: DATA_0_16, Fanin: None 
GateName: DATA_0_15 , GateType: 0, Level: 0, Output: false, Number: 16, Fanout: DATA_0_15, Fanin: None 
GateName: DATA_0_14 , GateType: 0, Level: 0, Output: false, Number: 17, Fanout: DATA_0_14, Fanin: None 
GateName: DATA_0_13 , GateType: 0, Level: 0, Output: false, Number: 18, Fanout: DATA_0_13, Fanin: None 
GateName: DATA_0_12 , GateType: 0, Level: 0, Output: false, Number: 19, Fanout: DATA_0_12, Fanin: None 
GateName: DATA_0_11 , GateType: 0, Level: 0, Output: false, Number: 20, Fanout: DATA_0_11, Fanin: None 
GateName: DATA_0_10 , GateType: 0, Level: 0, Output: false, Number: 21, Fanout: DATA_0_10, Fanin: None 
GateName: DATA_0_9 , GateType: 0, Level: 0, Output: false, Number: 22, Fanout: DATA_0_9, Fanin: None 
GateName: DATA_0_8 , GateType: 0, Level: 0, Output: false, Number: 23, Fanout: DATA_0_8, Fanin: None 
